Pair,Price(USDT),Equivalent price(USD),24H Change,24H Volume(USDT),AI annualized return
ETH/USDT,2744.5,2744.5,+1.41%,1.48B,+286.14%
BTC/USDT,53578.09,53578.09,-1.42%,1.2B,+138.13%
SRM3L/USDT,182.529,182.52,-1.43%,892.36M,+3515.80%
DOGE/USDT,0.308993,0.3,-2.54%,631.21M,+614.63%
HT/USDT,23.2727,23.27,+26.59%,609.26M,+367.11%
XRP/USDT,1.39182,1.39,+1.44%,489.5M,+493.68%
SOL3L/USDT,778.261,778.26,-11.27%,485.79M,+2002.73%
FIL/USDT,157.8005,157.8,+5.78%,302.88M,+211.73%
DOT/USDT,36.29,36.29,+8.75%,279.66M,+241.59%
BNB3L/USDT,309.474,309.47,+18.13%,258.39M,+782.86%
TRX/USDT,0.120365,0.12,-0.51%,189.56M,+448.98%
ADA/USDT,1.312447,1.31,+0.27%,188.72M,+283.61%
BUSD/USDT,0.9993,0.99,-0.04%,178.15M,--
BTT/USDT,0.00686318,0.0068,-2.10%,175M,+443.11%
MDX/USDT,3.4265,3.42,+23.34%,159.9M,+180.73%
UNI/USDT,40.2528,40.25,-5.95%,159.34M,+457.08%
LTC/USDT,257.36,257.36,+1.50%,148.15M,+198.48%
VET3L/USDT,31.897,31.89,-13.14%,139.82M,+1250.31%
MATIC/USDT,0.9209,0.92,+16.57%,136.8M,+1401.78%
EOS/USDT,6.083,6.08,+3.67%,123.87M,+251.47%
CHZ/USDT,0.550636,0.55,+2.18%,117.47M,+352.25%
BCH/USDT,879.86,879.86,-0.36%,113.88M,+210.87%
BSV/USDT,282.2155,282.21,-0.17%,102.71M,+264.52%
ALICE/USDT,12.9534,12.95,-5.58%,92.29M,+2489.93%
CAKE/USDT,42.557,42.55,+9.84%,88.56M,+562.58%
SUN/USDT,32.7194,32.71,-1.97%,85.32M,+288.53%
SUSHI/USDT,13.9896,13.98,-2.34%,82.99M,+334.85%
LINK/USDT,36.3844,36.38,+2.32%,80.07M,+258.16%
JST/USDT,0.120291,0.12,-0.76%,77.06M,+432.90%
WIN/USDT,0.00129424,0.0012,-2.52%,74.35M,+1685.51%
PUNDIX/USDT,3.171,3.17,-2.16%,71.28M,+740.65%
TFUEL/USDT,0.328889,0.32,+0.74%,67.5M,+651.05%
TRX1S/USDT,2.195,2.19,+0.55%,62.16M,+351.20%
TOMO3S/USDT,7.184,7.18,-31.92%,59.95M,+1249.16%
ETC/USDT,34.2085,34.2,-0.59%,57.15M,+218.17%
DODO/USDT,3.785,3.78,+8.11%,52.87M,+575.93%
AAVE/USDT,438.518,438.51,-2.41%,52.44M,+368.92%
VET/USDT,0.189141,0.18,-3.29%,51.16M,+932.72%
PERP/USDT,7.935,7.93,+9.01%,49.52M,+311.29%
ZEC/USDT,230.83,230.83,-2.25%,43.87M,+224.34%
1INCH3L/USDT,15.118,15.11,-4.99%,40.14M,+5943.07%
DEGO/USDT,15.653,15.65,-10.69%,39.5M,+1743.85%
ATOM/USDT,22.2945,22.29,-0.40%,38.56M,+382.46%
SRM/USDT,9.2279,9.22,+0.98%,36.2M,+1580.62%
DENT/USDT,0.0110144,0.011,+0.99%,34.64M,+1171.66%
MFT/USDT,0.016094,0.016,-1.49%,34.42M,+550.01%
BNB/USDT,600.9708,600.97,+6.89%,32.18M,+309.63%
ONT/USDT,1.694,1.69,+2.25%,32.03M,+340.40%
KNC3L/USDT,6.442,6.44,-2.53%,31.78M,+1809.63%
CRV/USDT,3.031,3.03,+2.23%,31.65M,+386.62%
ZKS/USDT,2.5021,2.5,+1.69%,31.43M,+278.99%
IOTX/USDT,0.076674,0.076,+54.40%,30.26M,+1093.66%
DASH/USDT,293.32,293.32,+4.36%,29.54M,+253.59%
THETA/USDT,10.9154,10.91,-1.67%,29.18M,+416.37%
CHR/USDT,0.35614,0.35,+19.51%,28.95M,+625.10%
KEY/USDT,0.017067,0.017,-1.15%,28.54M,+551.20%
QTUM/USDT,14.2088,14.2,+0.51%,27.41M,+401.32%
SXP/USDT,4.494,4.49,-1.45%,27.14M,+918.57%
MANA/USDT,1.4162,1.41,-3.80%,27.04M,+347.45%
EOS3L/USDT,4.46,4.46,+11.67%,26.97M,+718.30%
WAVES/USDT,22.4752,22.47,+21.88%,25.47M,9.6087
ETH3L/USDT,48.419,48.41,+3.47%,24.8M,+756.00%
NEAR/USDT,5.3029,5.3,+9.40%,24.59M,+326.82%
TRX3L/USDT,2.556,2.55,-1.62%,24.14M,+1692.89%
SOL/USDT,42.3949,42.39,-3.87%,24.04M,+401.32%
LUNA/USDT,16.0145,16.01,-2.34%,23.48M,+781.85%
NEO/USDT,89.53,89.53,-1.30%,22.96M,+345.80%
HNT3S/USDT,4.191,4.19,+8.38%,22.51M,+5856.05%
XLM/USDT,0.49007,0.49,-0.46%,22.16M,+297.98%
NEAR3L/USDT,16.36,16.36,+27.42%,21.61M,+3952.51%
ETC3S/USDT,46.683,46.68,+1.49%,21.48M,+1473.93%
LINK1S/USDT,4.23,4.23,-2.15%,21.05M,+559.72%
XMR/USDT,406.15,406.15,-3.31%,21.03M,+445.47%
KSM/USDT,391.1324,391.13,+1.55%,20.49M,+328.27%
FOR/USDT,0.116539,0.11,+19.73%,20.42M,+650.63%
SWRV/USDT,2.6164,2.61,+59.39%,19.68M,+1887.88%
PSG/USDT,44.077,44.07,-0.49%,19.41M,+1199.47%
BAGS/USDT,152.7589,152.75,-1.79%,19.37M,+2027.93%
ALGO/USDT,1.3505,1.35,+6.79%,19.26M,+350.64%
BZRX/USDT,0.8484,0.84,+14.39%,19.25M,+967.32%
1INCH/USDT,5.385191,5.38,-1.50%,18.71M,+436.65%
POLS/USDT,2.956,2.95,-2.50%,17.44M,+590.75%
TRX3S/USDT,1.837,1.83,+1.21%,17.2M,+1016.58%
FLM/USDT,0.7571,0.75,+3.53%,17.04M,+418.77%
ENJ/USDT,2.60739,2.6,-0.36%,16.87M,+518.67%
DOGE3L/USDT,85.764,85.76,-7.24%,16.18M,+2609.00%
SKL/USDT,0.697959,0.69,+23.39%,15.77M,+332.93%
IOST/USDT,0.060404,0.06,-1.33%,15.56M,+977.85%
FRONT/USDT,2.885727,2.88,+37.63%,15.47M,+1379.71%
GRT/USDT,1.509847,1.5,+1.43%,15.14M,+268.90%
CTSI/USDT,0.63327,0.63,+4.85%,15.09M,+1051.42%
JUV/USDT,17.211,17.21,+7.51%,15.01M,+437.14%
CELO/USDT,5.1467,5.14,-1.57%,14.82M,+969.39%
XEM/USDT,0.332,0.33,+1.13%,14.39M,+437.31%
ASR/USDT,9.543,9.54,+2.93%,14.19M,+386.36%
ROSE/USDT,0.14916,0.14,-0.80%,13.65M,+264.97%
COMP/USDT,645.51,645.51,+2.01%,13.3M,+421.61%
